Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2014-08-25,-1,4,-4,36,6
2014-08-26,1,4,-4,54,5
2014-08-27,-2,3,-5,51,4
2014-08-28,-1,4,-5,139,10
2014-08-29,1,5,-4,71,5
2014-08-30,1,4,-4,20,4
2014-08-31,2,4,-2,13,3
2014-09-01,2,5,-3,27,3
2014-09-02,-2,3,-5,91,7
2014-09-03,-3,2,-5,136,10
2014-09-04,-2,3,-5,155,10
2014-09-05,-2,3,-5,115,7
2014-09-06,2,5,-3,37,6
2014-09-07,4,5,1,20,5
2014-09-08,1,5,-3,80,8
2014-09-09,2,5,-2,279,10
2014-09-10,1,4,-4,444,10
2014-09-11,-1,4,-4,148,3
2014-09-12,1,4,-4,104,2
2014-09-13,-1,4,-4,25,2
2014-09-14,1,4,-3,11,1
2014-09-15,1,5,-3,89,2
2014-09-16,0,0,0,0,0
2014-09-17,1,5,-3,105,2
2014-09-18,-1,4,-5,129,3
2014-09-19,-1,4,-5,120,3
2014-09-20,-1,4,-4,41,2
2014-09-21,1,5,-5,22,2
2014-09-22,-1,4,-5,106,4
2014-09-23,-2,3,-5,104,2
2014-09-24,-1,4,-5,122,3
2014-09-25,-3,2,-5,154,4
2014-09-26,-2,3,-5,230,6
2014-09-27,-1,4,-4,20,3
2014-09-28,1,4,-4,12,2
2014-09-29,-1,4,-5,87,3
2014-09-30,1,5,-3,160,4
2014-10-01,-1,4,-5,73,1
2014-10-02,-1,4,-5,105,2
2014-10-03,1,5,-4,77,2
2014-10-04,-1,4,-5,29,1
2014-10-05,-2,3,-5,13,1
2014-10-06,-1,4,-5,88,3
2014-10-07,-2,3,-5,149,3
2014-10-08,-1,4,-5,83,2
2014-10-09,-1,4,-5,197,5
2014-10-10,-2,3,-5,111,5
2014-10-11,-1,4,-5,31,4
2014-10-12,-1,4,-5,15,3
2014-10-13,2,5,-2,20,2
2014-10-14,2,5,-3,71,3
2014-10-15,1,5,-4,126,6
2014-10-16,1,4,-4,165,8
2014-10-17,1,5,-4,93,4
2014-10-18,-1,3,-5,31,3
2014-10-19,1,4,-3,13,3
2014-10-20,1,4,-4,96,6
2014-10-21,2,5,-2,243,10
2014-10-22,2,5,-3,130,5
2014-10-23,1,4,-4,71,3
2014-10-24,-1,3,-5,63,2
2014-10-25,-1,3,-4,30,2
2014-10-26,1,4,-4,15,2
2014-10-27,-1,3,-5,40,3
2014-10-28,2,5,-2,106,4
2014-10-29,-1,4,-5,38,1
2014-10-30,1,4,-4,130,5
2014-10-31,2,5,-3,67,2
2014-11-01,1,4,-3,11,1
2014-11-02,-1,4,-5,5,1
2014-11-03,1,4,-3,43,2
2014-11-04,-2,3,-5,58,2
2014-11-05,1,5,-3,58,2
2014-11-06,-2,3,-5,71,3
2014-11-07,1,5,-4,43,1
2014-11-08,-2,3,-5,25,1
2014-11-09,2,5,-3,3,1
2014-11-10,-3,2,-5,30,2
2014-11-11,1,5,-4,64,2
2014-11-12,-1,4,-5,32,1
2014-11-13,1,5,-4,44,1
2014-11-14,1,5,-3,57,2
2014-11-15,3,5,-1,27,2
2014-11-16,2,5,-3,3,1
2014-11-17,3,5,-1,38,2
2014-11-18,-1,3,-5,48,2
2014-11-19,-1,4,-5,49,2
2014-11-20,2,5,-3,61,4
2014-11-21,1,4,-4,40,3
2014-11-22,2,5,-1,12,2
2014-11-23,2,4,-1,6,2
2014-11-24,2,5,-2,48,5
2014-11-25,1,5,-3,90,7
2014-11-26,2,5,-2,38,3
2014-11-27,1,5,-4,6,0
2014-11-28,2,5,-1,8,0
2014-11-29,4,4,4,1,0
2014-11-30,-3,-3,-3,1,0
2014-12-01,-3,1,-5,21,2
2014-12-02,-2,2,-5,26,2
2014-12-03,-1,4,-5,16,1
2014-12-04,-1,4,-5,13,1
2014-12-05,-2,2,-5,14,1
2014-12-06,-5,-5,-5,5,1
2014-12-07,3,3,3,1,1
2014-12-08,3,5,-2,12,1
2014-12-09,-2,3,-5,12,1
2014-12-10,-1,4,-5,17,1
2014-12-11,-1,4,-5,48,5
2014-12-12,-1,4,-5,35,3
2014-12-13,1,4,-4,13,3
2014-12-14,1,5,-5,8,2
2014-12-15,1,4,-3,48,7
2014-12-16,-1,4,-4,74,8
2014-12-17,-1,4,-5,58,6
2014-12-18,1,5,-4,28,3
2014-12-19,-3,2,-5,38,4
2014-12-20,-2,3,-5,11,3
2014-12-21,3,5,-2,2,2
2014-12-22,1,5,-4,25,3
2014-12-23,2,5,-3,61,6
2014-12-24,-2,3,-5,43,4
2014-12-25,1,4,-4,21,2
2014-12-26,1,5,-4,21,2
2014-12-27,-1,4,-5,28,5
2014-12-28,3,5,-1,17,5
2014-12-29,1,4,-4,40,10
2014-12-30,-1,3,-5,26,3
2014-12-31,-1,3,-4,35,4
2015-01-01,-1,4,-5,15,1
2015-01-02,-1,4,-5,20,2
2015-01-03,-2,3,-5,21,4
2015-01-04,2,5,-2,14,5
2015-01-05,2,5,-3,24,7
2015-01-06,2,5,-2,41,5
2015-01-07,-2,2,-5,64,8
2015-01-08,1,4,-4,61,7
2015-01-09,1,5,-4,50,6
2015-01-10,2,5,-3,11,4
2015-01-11,3,4,3,3,3
2015-01-12,-1,3,-4,16,3
2015-01-13,1,5,-3,74,9
2015-01-14,-2,2,-5,109,10
2015-01-15,1,4,-4,111,10
2015-01-16,-3,2,-5,77,6
2015-01-17,1,5,-4,31,5
2015-01-18,-2,2,-5,8,4
2015-01-19,2,5,-2,19,4
2015-01-20,1,5,-3,31,2
2015-01-21,-1,4,-4,51,4
2015-01-22,1,4,-3,29,2
2015-01-23,1,5,-3,47,4
2015-01-24,2,5,-2,26,4
2015-01-25,3,5,-2,10,3
2015-01-26,2,5,-3,63,7
2015-01-27,-1,4,-4,82,7
2015-01-28,2,5,-3,294,10
2015-01-29,-1,3,-5,135,4
2015-01-30,2,5,-2,65,2
2015-01-31,-1,4,-4,18,1
2015-02-01,1,4,-4,15,1
2015-02-02,-1,3,-5,57,3
2015-02-03,-1,4,-4,55,1
2015-02-04,1,5,-3,47,1
2015-02-05,2,5,-2,51,1
2015-02-06,1,5,-4,40,1
2015-02-07,-1,4,-5,22,1
2015-02-08,3,5,1,6,1
2015-02-09,-2,3,-5,54,2
2015-02-10,1,4,-4,61,2
2015-02-11,0,0,0,0,0
2015-02-12,-1,4,-4,93,3
2015-02-13,2,5,-2,61,2
2015-02-14,2,5,-2,57,3
2015-02-15,1,4,-3,9,2
2015-02-16,-1,3,-5,34,3
2015-02-17,2,5,-3,82,2
2015-02-18,1,4,-4,60,2
2015-02-19,-1,4,-4,99,3
2015-02-20,-1,4,-4,88,3
2015-02-21,1,4,-4,14,2
2015-02-22,-1,3,-4,7,1
2015-02-23,2,5,-3,63,2
2015-02-24,2,5,-3,91,3
2015-02-25,-1,3,-5,105,3
2015-02-26,-1,3,-5,88,3
2015-02-27,-2,2,-5,102,6
2015-02-28,1,4,-4,28,5
2015-03-01,1,4,-3,26,4
2015-03-02,1,5,-3,90,8
2015-03-03,1,5,-3,102,6
2015-03-04,-1,3,-5,102,6
2015-03-05,-1,3,-5,94,6
2015-03-06,-1,3,-5,131,8
2015-03-07,2,5,-3,55,8
2015-03-08,2,5,-2,14,6
2015-03-09,2,5,-2,212,10
2015-03-10,2,5,-3,230,9
2015-03-11,-1,4,-5,90,3
2015-03-12,1,5,-4,61,2
2015-03-13,-1,4,-4,46,1
2015-03-14,-1,3,-5,23,1
2015-03-15,3,5,-1,24,2
2015-03-16,2,5,-2,41,3
2015-03-17,-1,3,-5,103,4
2015-03-18,1,4,-4,63,2
2015-03-19,2,5,-3,96,3
2015-03-20,-1,4,-4,50,2
2015-03-21,3,5,-1,18,1
2015-03-22,1,4,-3,13,1
2015-03-23,1,4,-3,35,2
2015-03-24,1,4,-4,29,1
2015-03-25,2,5,-2,31,1
2015-03-26,2,5,-3,56,2
2015-03-27,3,5,-1,58,2
2015-03-28,1,5,-4,25,2
2015-03-29,1,4,-4,8,1
2015-03-30,-1,4,-5,46,2
2015-03-31,1,5,-4,75,3
2015-04-01,2,5,-3,52,2
2015-04-02,-1,4,-4,37,1
2015-04-03,-2,2,-5,36,1
2015-04-04,1,5,-4,16,1
2015-04-05,2,5,-2,13,1
2015-04-06,2,5,-3,24,2
2015-04-07,1,5,-3,44,1
2015-04-08,-1,4,-4,39,1
2015-04-09,2,5,-2,54,5
2015-04-10,1,4,-3,99,9
2015-04-11,2,5,-2,48,9
2015-04-12,2,5,-3,15,7
2015-04-13,-1,4,-4,77,10
2015-04-14,1,4,-4,75,6
2015-04-15,1,5,-3,51,4
2015-04-16,1,5,-3,45,4
2015-04-17,1,4,-4,56,5
2015-04-18,2,5,-1,14,3
2015-04-19,-1,4,-5,9,3
2015-04-20,1,5,-4,25,4
2015-04-21,2,5,-3,39,3
2015-04-22,1,4,-4,31,2
2015-04-23,1,4,-3,60,5
2015-04-24,-1,4,-5,104,9
2015-04-25,1,4,-3,27,6
2015-04-26,2,5,-2,18,6
2015-04-27,1,5,-3,120,10
2015-04-28,1,5,-3,268,10
2015-04-29,-1,4,-4,148,7
2015-04-30,-2,3,-5,130,6
2015-05-01,-1,3,-5,44,2
2015-05-02,0,0,0,0,0
2015-05-03,1,5,-3,9,0
2015-05-04,5,5,4,11,1
2015-05-05,-1,4,-5,54,2
2015-05-06,1,4,-4,37,1
2015-05-07,-1,3,-5,45,2
2015-05-08,2,5,-3,42,1
2015-05-09,4,5,2,14,1
2015-05-10,2,5,-2,29,2
2015-05-11,1,4,-3,59,4
2015-05-12,2,5,-3,48,2
2015-05-13,-1,4,-4,36,1
2015-05-14,1,4,-4,52,2
2015-05-15,2,5,-2,55,2
2015-05-16,-2,3,-5,20,2
2015-05-17,2,5,-2,12,2
2015-05-18,1,4,-3,89,5
2015-05-19,2,5,-3,150,7
2015-05-20,1,5,-4,46,2
2015-05-21,2,5,-2,34,1
2015-05-22,3,5,-2,26,1
2015-05-23,1,4,-3,27,1
2015-05-24,-1,4,-5,18,2
2015-05-25,-1,3,-5,25,3
2015-05-26,1,5,-3,45,2
2015-05-27,1,4,-4,88,4
2015-05-28,-1,4,-4,75,4
2015-05-29,1,5,-4,38,3
2015-05-30,-1,4,-4,20,3
2015-05-31,2,5,-3,9,2
2015-06-01,1,5,-3,25,3
2015-06-02,1,4,-4,45,3
2015-06-03,-2,3,-5,64,5
2015-06-04,1,5,-4,70,5
2015-06-05,1,4,-3,42,3
2015-06-06,1,4,-3,20,3
2015-06-07,3,5,-2,22,4
2015-06-08,2,5,-2,115,10
2015-06-09,-1,3,-4,143,9
2015-06-10,1,5,-3,93,6
2015-06-11,-1,4,-4,56,3
2015-06-12,-1,4,-4,31,2
2015-06-13,3,5,-1,23,2
2015-06-14,2,5,-2,17,3
2015-06-15,-1,4,-4,30,4
2015-06-16,1,4,-4,26,1
2015-06-17,-1,3,-5,31,2
2015-06-18,2,5,-2,59,4
2015-06-19,1,4,-3,35,2
2015-06-20,1,5,-3,13,2
2015-06-21,2,5,-2,14,2
2015-06-22,2,5,-3,63,5
2015-06-23,2,5,-3,88,6
2015-06-24,-1,3,-4,62,4
2015-06-25,1,5,-3,29,1
2015-06-26,-1,4,-4,31,2
2015-06-27,-1,3,-5,16,2
2015-06-28,2,5,-2,7,1
2015-06-29,-1,4,-5,23,2
2015-06-30,1,4,-4,87,5
2015-07-01,2,5,-2,43,2
2015-07-02,-1,4,-4,24,1
2015-07-03,2,5,-2,20,1
2015-07-04,-1,3,-3,9,1
2015-07-05,-4,-3,-5,2,0
2015-07-06,-1,3,-4,21,2
2015-07-07,-3,2,-5,42,2
2015-07-08,-2,2,-5,60,4
2015-07-09,-2,3,-5,40,4
2015-07-13,1,5,-3,79,10
2015-07-14,2,5,-3,115,10
2015-07-15,2,5,-3,130,10
2015-07-16,1,5,-4,83,6
2015-07-17,2,5,-3,44,3
2015-07-18,2,5,-1,23,3
2015-07-19,1,4,-3,10,2
2015-07-20,2,5,-3,67,6
2015-07-21,-1,4,-4,151,10
2015-07-22,-2,2,-5,296,10
2015-07-23,-2,3,-5,178,6
2015-07-24,-1,3,-5,48,1
2015-07-25,1,4,-3,27,1
2015-07-26,-1,3,-5,6,1
2015-07-27,1,5,-3,77,3
2015-07-28,1,4,-3,57,2
2015-07-29,-1,4,-4,29,1
2015-07-30,-2,3,-5,38,1
2015-07-31,1,5,-4,31,1
2015-08-01,-1,4,-4,10,1
2015-08-02,-1,4,-4,8,1
2015-08-03,-1,4,-5,34,2
2015-08-04,-2,3,-5,97,3
2015-08-05,-1,4,-5,116,4
2015-08-06,1,4,-4,68,2
2015-08-07,-2,2,-5,55,2
2015-08-08,-2,3,-5,26,2
2015-08-09,3,5,-2,12,1
2015-08-10,1,4,-3,36,2
2015-08-11,-2,3,-5,58,2
2015-08-12,-4,-1,-5,84,3
2015-08-13,-2,2,-5,53,2
2015-08-14,-1,4,-5,86,3
2015-08-15,1,5,-4,25,2
2015-08-16,-2,1,-5,13,2
2015-08-17,-2,3,-5,19,1
2015-08-18,2,5,-3,38,1
2015-08-19,1,4,-4,33,1
2015-08-20,-1,4,-5,14,0
2015-08-21,-2,2,-5,16,0
2015-08-22,-4,-2,-5,32,4
2015-08-23,-3,-2,-5,8,3
2015-08-24,-1,3,-5,16,4
2015-08-25,-3,1,-5,83,7
2015-08-26,-2,3,-5,77,6
2015-08-27,1,5,-3,49,4
2015-08-28,1,4,-3,43,3
2015-08-29,1,4,-4,10,2
2015-08-30,-2,-2,-2,1,1
2015-08-31,-1,3,-5,50,5
2015-09-01,2,5,-2,70,6
2015-09-02,2,5,-3,46,3
2015-09-03,2,5,-3,63,5
2015-09-04,2,5,-3,45,4
